metric_id,db_type,scenario,granularity,entity_key,forecast_version,key_namespace,unit,source_object,source_file,source_object_count,row_count,n_windows,avg_mape,max_mape,avg_smape,avg_rmse,avg_mae,avg_bias_pct,avg_accuracy,min_accuracy,evaluation_start_min,evaluation_end_max,availability_status,computability_status,not_computable_reason,single_version_accuracy_only,contract_version,rank_mape_within_partition
hdd_edb,EDB,not_applicable,forest,NAMP167,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,167.702222,190.13,91.011111,422.161111,422.037778,167.216667,0.0,0.0,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,151
hdd_edb,EDB,not_applicable,forest,NAMP167,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,190.795,278.66,95.89875,351.89125,351.64125,189.07375,0.0,0.0,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,148
hdd_edb,EDB,not_applicable,forest,NAMP169,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,1.715556,1.87,1.703333,0.151111,0.15,1.715556,98.284444,98.13,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,107
hdd_edb,EDB,not_applicable,forest,NAMP169,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,1.00625,1.74,1.01125,0.090625,0.090625,-1.00625,98.99375,98.26,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,60
hdd_edb,EDB,not_applicable,forest,NAMP170,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,1.72,1.82,1.733333,26.066667,26.017778,-1.72,98.28,98.18,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,108
hdd_edb,EDB,not_applicable,forest,NAMP170,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,1.23,1.62,1.239375,18.8725,18.785625,-1.23,98.77,98.38,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,64
hdd_edb,EDB,not_applicable,forest,NAMP171,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.175556,0.23,0.175556,0.973333,0.947778,-0.175556,99.824444,99.77,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,20
hdd_edb,EDB,not_applicable,forest,NAMP172,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,0.093333,0.16,0.093333,0.01,0.01,-0.008889,99.906667,99.84,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,8
hdd_edb,EDB,not_applicable,forest,NAMP173,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,46.501111,191.68,23.312222,324.07,261.324444,25.98,65.022222,0.0,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,147
hdd_edb,EDB,not_applicable,forest,NAMP173,2026-04-16 07:50:38,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,16,15,1629.873125,3275.29,157.933125,1323.0825,1307.730625,1480.5525,0.0,0.0,2026-04-16,2026-05-06,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,154
hdd_edb,EDB,not_applicable,forest,NAMP197,2026-04-06 19:49:02,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,9,9,2.965556,3.21,2.925556,0.132222,0.132222,2.965556,97.034444,96.79,2026-04-07,2026-04-21,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,117
hdd_edb,EDB,not_applicable,forest,NAMP197,2026-05-01 03:35:00,forest_keys,UNKNOWN,forecast_substrateBE_hdd_forest_metrics,hdd_forest_metrics.csv,1,32,32,0.71625,2.08,0.712812,0.035,0.03375,0.391563,99.28375,97.92,2026-05-01,2026-06-09,local_ingested,accuracy_only,NO_TARGET_DATE_GRAIN|NO_FORECAST_FACT_TABLE|SHINY_NOT_CONNECTED,False,v6.0d,38
